RF	Parent	Node	NoSynonymConservative	ConservativeNoHIPMutation	Deletion	NoMutation	NoSynonym	NoSynonymNoHIPMutation	Synonym	SynonymNoHIPMutation	Total	SitesNumber
RF1	8	336-3	26.58	0.32	0.91	19.97	17.46	0	19.15	15.6	100	2193
RF1	9	NIES-3974	30.14	0.05	1.32	18.83	24.03	0	14.46	11.17	100	2193
RF1	10	PCC_6303	29.18	0.23	1.73	21.34	15.32	0	19.11	13.09	100	2193
RF1	11	PCC_7716	13.13	0.32	1.6	51.12	4.79	0	21.52	7.52	100	2193
RF1	11	NIES-4105	13.68	0.09	1.69	45.14	4.92	0	24.72	9.76	100	2193
RF1	7	NIES-267	35.02	0.27	1.6	10.4	22.85	0	23.71	6.16	100	2193
RF1	7	8	0	0	0	100	0	0	0	0	100	2193
RF1	8	9	9.39	0.27	0	70.63	4.38	0	8.76	6.57	100	2193
RF1	9	10	8.85	0.09	0	68.45	3.6	0	11.04	7.98	100	2193
RF1	10	11	26.99	0.27	0.05	19.38	12.18	0	35.11	6.02	100	2193
RF2	8	336-3	23.16	1.7	1.77	37.46	17.04	1.55	17.26	0.07	100	1356
RF2	9	NIES-3974	26.33	1.11	1.77	31.27	23.75	1.77	14.01	0	100	1356
RF2	10	PCC_6303	24.41	1.4	2.06	34.73	17.55	1.84	17.85	0.15	100	1356
RF2	11	PCC_7716	9.44	0.81	2.21	53.76	5.9	0.37	27.43	0.07	100	1356
RF2	11	NIES-4105	13.27	0.52	2.43	53.32	6.78	0.37	23.23	0.07	100	1356
RF2	7	NIES-267	32.74	0.88	2.65	16.45	22.2	0.52	24.26	0.29	100	1356
RF2	7	8	0	0	0	100	0	0	0	0	100	1356
RF2	8	9	9.07	0.88	0	72.86	6.12	0.74	10.1	0.22	100	1356
RF2	9	10	6.42	0.66	0.07	79.5	2.88	0.74	9.59	0.15	100	1356
RF2	10	11	24.19	0.37	0.07	20.94	17.63	0.44	36.21	0.15	100	1356
RF3	8	336-3	25.68	3.47	1.66	15.41	21.45	1.96	19.18	11.18	100	662
RF3	9	NIES-3974	29.15	3.63	1.21	10.88	27.34	1.51	17.22	9.06	100	662
RF3	10	PCC_6303	27.64	6.04	2.42	14.8	20.39	2.42	19.03	7.25	100	662
RF3	11	PCC_7716	11.48	3.17	3.02	43.35	5.29	1.06	27.04	5.59	100	662
RF3	11	NIES-4105	12.08	1.51	3.02	43.81	6.19	1.66	23.87	7.85	100	662
RF3	7	NIES-267	32.48	1.96	2.57	7.55	26.74	1.06	24.47	3.17	100	662
RF3	7	8	0	0	0	100	0	0	0	0	100	662
RF3	8	9	9.82	3.47	0	56.95	6.04	2.57	14.5	6.65	100	662
RF3	9	10	6.5	2.87	0	66.31	3.93	0.91	14.05	5.44	100	662
RF3	10	11	28.85	1.81	0	12.39	18.28	0.76	33.99	3.93	100	662
