Orthogroup	336-3	PCC_7716
OG0000001	WP_035152352.1	WP_224178561.1, WP_224175956.1
OG0000001	WP_035158622.1	WP_224177809.1
OG0000001	WP_035151011.1	WP_223991133.1
OG0000001	WP_035152090.1	WP_223984851.1
OG0000001	WP_035157650.1	WP_223982352.1
OG0000002	WP_035155186.1	WP_224175340.1, WP_224174840.1
OG0000002	WP_035157202.1	WP_223984502.1, WP_224173959.1
OG0000002	WP_035151530.1	WP_224178719.1
OG0000002	WP_238178433.1	WP_224177287.1
OG0000002	WP_035150530.1, WP_035150532.1, WP_052754386.1	WP_224178544.1, WP_224178464.1
OG0000002	WP_035158076.1, WP_035153718.1	WP_224174169.1, WP_224179024.1
OG0000002	WP_035149608.1, WP_035159019.1	WP_224179044.1
OG0000002	WP_035153701.1	WP_224179036.1
OG0000003	WP_035149728.1	WP_224179040.1
OG0000003	WP_046814870.1	WP_224177433.1
OG0000003	WP_046814992.1	WP_224179529.1
OG0000004	WP_035149736.1	WP_224179043.1
OG0000004	WP_046814782.1	WP_224177416.1
OG0000005	WP_035152711.1	WP_224178285.1
OG0000005	WP_052754440.1	WP_224178279.1
OG0000006	WP_238178524.1	WP_224177583.1
OG0000006	WP_046814770.1	WP_224177589.1
OG0000006	WP_035153047.1	WP_223978743.1
OG0000007	WP_035150919.1	WP_223978130.1
OG0000007	WP_035159892.1	WP_224179550.1
OG0000007	WP_035149620.1	WP_224177822.1
OG0000008	WP_035153351.1, WP_035158084.1, WP_035149683.1, WP_035155706.1	WP_224179574.1
OG0000009	WP_035158201.1	WP_224179109.1
OG0000009	WP_035152842.1	WP_223973838.1
OG0000009	WP_035152706.1, WP_035152708.1	WP_224178286.1
OG0000009	WP_035153556.1	WP_224175243.1, WP_223990086.1, WP_224175585.1, WP_224179146.1, WP_224177788.1
OG0000010	WP_035150339.1	WP_223979110.1
OG0000010	WP_035150851.1	WP_224174742.1
OG0000010	WP_035150991.1	WP_223972461.1
OG0000010	WP_035149688.1	WP_224179683.1
OG0000010	WP_082127333.1	WP_255667717.1
OG0000011	WP_035153748.1	WP_224177193.1
OG0000011	WP_035153825.1	WP_223978339.1
OG0000012	WP_046814699.1	WP_224178707.1, WP_224175090.1
OG0000012	WP_035149360.1	WP_223977655.1, WP_224176219.1, WP_224175542.1, WP_224176058.1, WP_224178765.1, WP_224178764.1, WP_223981015.1, WP_223990858.1, WP_224178997.1, WP_224176210.1, WP_224176440.1
OG0000013	WP_035151573.1	WP_223987783.1
OG0000013	WP_035157878.1	WP_224174709.1
OG0000014	WP_035157382.1	WP_224177340.1
OG0000014	WP_035153779.1	WP_224174008.1
OG0000014	WP_035153641.1	WP_224176458.1, WP_224176457.1, WP_224176456.1, WP_224179778.1
OG0000016	WP_035158136.1	WP_224179691.1
OG0000016	WP_035153714.1	WP_073624137.1
OG0000016	WP_082127290.1	WP_224175789.1, WP_224175028.1
OG0000017	WP_035153749.1	WP_223974161.1, WP_224177192.1
OG0000017	WP_035153827.1	WP_223978338.1
OG0000018	WP_035151257.1	WP_224176031.1
OG0000020	WP_035156973.1	WP_224177271.1
OG0000022	WP_052754520.1	WP_224177161.1
OG0000022	WP_238178450.1	WP_223973380.1
OG0000023	WP_035149526.1	WP_223982408.1, WP_224176745.1
OG0000023	WP_201782628.1	WP_224178875.1
OG0000024	WP_035149722.1	WP_224179039.1
OG0000024	WP_046814695.1, WP_052754361.1, WP_035149720.1, WP_046814777.1, WP_046814696.1	WP_224176218.1
OG0000024	WP_035155824.1, WP_035154163.1, WP_035158174.1, WP_035154450.1, WP_035152505.1, WP_046814677.1	WP_224179033.1
OG0000025	WP_035155892.1	WP_223987500.1
OG0000025	WP_082127234.1	WP_224178098.1
OG0000025	WP_035156425.1	WP_224174281.1
OG0000025	WP_035158127.1	WP_223985174.1, WP_224177582.1
OG0000026	WP_035150464.1	WP_223988249.1, WP_127080584.1, WP_019495472.1, WP_224180391.1
OG0000026	WP_035154541.1	WP_223972639.1, WP_224175050.1
OG0000027	WP_035152343.1	WP_224179256.1, WP_224176249.1
OG0000027	WP_035156324.1	WP_224179961.1, WP_224175791.1, WP_223989462.1, WP_224179521.1
OG0000028	WP_035149761.1	WP_223987816.1, WP_224179387.1
OG0000028	WP_035153572.1	WP_223973706.1
OG0000029	WP_035153906.1	WP_224179308.1
OG0000029	WP_046814731.1, WP_035151030.1	WP_224174365.1
OG0000030	WP_144416002.1	WP_224177621.1, WP_224177613.1, WP_224177612.1, WP_224178064.1, WP_223984123.1, WP_224176607.1, WP_223984088.1, WP_223978659.1, WP_224177476.1
OG0000031	WP_035149492.1	WP_224174811.1
OG0000031	WP_035157544.1	WP_224176862.1
OG0000032	WP_035150481.1, WP_035154698.1, WP_035152988.1	WP_223972372.1, WP_224180152.1, WP_223972362.1, WP_224180315.1
OG0000032	WP_035154887.1	WP_223978974.1
OG0000033	WP_082127367.1	WP_223990715.1, WP_224176740.1, WP_223984749.1, WP_224176049.1, WP_224178067.1, WP_224178066.1, WP_224178075.1
OG0000035	WP_035156698.1	WP_224179196.1, WP_223973339.1
OG0000035	WP_035150519.1	WP_223973602.1, WP_223984083.1, WP_224180316.1
OG0000036	WP_046814873.1	WP_224174534.1, WP_224177828.1, WP_224176348.1
OG0000037	WP_035154651.1	WP_073623750.1
OG0000037	WP_035158215.1	WP_019493593.1
OG0000037	WP_035152872.1	WP_223985796.1
OG0000038	WP_035158138.1	WP_224176205.1
OG0000039	WP_035148990.1	WP_224179284.1
OG0000039	WP_035151242.1	WP_224176511.1, WP_224180453.1
OG0000040	WP_035156937.1	WP_224177333.1, WP_224174214.1, WP_224176770.1, WP_223978159.1
OG0000041	WP_035149561.1	WP_223986883.1, WP_224176201.1, WP_223987336.1, WP_224176197.1
OG0000042	WP_035159927.1, WP_238178558.1, WP_035150760.1	WP_224175059.1
OG0000043	WP_035155361.1	WP_223985707.1
OG0000043	WP_035155289.1	WP_223976582.1
OG0000043	WP_035159500.1	WP_223978913.1
OG0000044	WP_035153674.1	WP_224178868.1
OG0000045	WP_035158023.1	WP_224177902.1, WP_224177102.1, WP_223974614.1
OG0000046	WP_238178519.1	WP_224179680.1, WP_224179195.1, WP_224180166.1, WP_224174471.1, WP_224174600.1, WP_224178994.1, WP_224175698.1, WP_224174367.1, WP_224174860.1, WP_224178995.1
OG0000048	WP_035151117.1	WP_223972807.1
OG0000048	WP_035150264.1	WP_223970995.1
OG0000048	WP_046814715.1	WP_224176321.1, WP_224176508.1
OG0000049	WP_046814807.1	WP_224176341.1
OG0000049	WP_035150949.1	WP_224178608.1
OG0000049	WP_168163493.1	WP_224174712.1
OG0000050	WP_082127255.1, WP_035154646.1	WP_224174019.1, WP_224179192.1, WP_224179191.1, WP_224176612.1
OG0000051	WP_035156582.1	WP_224176027.1
OG0000052	WP_035148992.1	WP_224179285.1
OG0000052	WP_035151240.1	WP_224180451.1, WP_224176512.1
OG0000053	WP_035150200.1	WP_224176746.1, WP_224179512.1
OG0000053	WP_035149528.1	WP_224179072.1, WP_223977488.1
OG0000054	WP_035151456.1	WP_224178520.1
OG0000054	WP_035152967.1	WP_223980887.1, WP_224175154.1, WP_224175652.1
OG0000055	WP_035152364.1	WP_224177700.1
OG0000056	WP_035152367.1	WP_224177701.1
OG0000056	WP_035159297.1	WP_224174715.1
OG0000057	WP_052754395.1	WP_224174743.1
OG0000057	WP_035152844.1	WP_224178369.1
OG0000059	WP_035156446.1	WP_223989517.1
OG0000059	WP_035150710.1	WP_224176570.1
OG0000059	WP_035148922.1	WP_224176885.1
OG0000060	WP_035149321.1	WP_223977252.1
OG0000060	WP_035148987.1	WP_223987941.1
OG0000060	WP_035151245.1	WP_223977619.1, WP_224180454.1
OG0000061	WP_035149530.1	WP_223977489.1, WP_224179073.1
OG0000062	WP_035150001.1	WP_223978795.1, WP_224175373.1, WP_224178787.1, WP_224177064.1
OG0000063	WP_035153783.1	WP_224175528.1, WP_224174000.1
OG0000063	WP_035153805.1	WP_224180312.1
OG0000064	WP_035154594.1	WP_224179577.1, WP_223988239.1
OG0000064	WP_035156922.1	WP_223989889.1
OG0000066	WP_035149937.1, WP_035148920.1	WP_224177895.1
OG0000067	WP_035150688.1	WP_224179217.1
OG0000067	WP_035150689.1	WP_223986199.1
OG0000068	WP_035153600.1	WP_223983062.1, WP_223972642.1
OG0000068	WP_035150279.1	WP_224177622.1
OG0000069	WP_035152728.1	WP_224174151.1
OG0000072	WP_035157023.1, WP_035150478.1	WP_224178894.1, WP_223991267.1, WP_223982518.1, WP_223990992.1, WP_223978707.1, WP_223973279.1, WP_223984765.1
OG0000073	WP_035154411.1	WP_223973153.1
OG0000073	WP_035153422.1	WP_223975079.1
OG0000073	WP_035154226.1	WP_224179619.1
OG0000074	WP_052754390.1	WP_224177449.1
OG0000075	WP_238178536.1	WP_224176039.1, WP_223975819.1
OG0000076	WP_035155848.1	WP_224177218.1
OG0000076	WP_035149136.1	WP_224178317.1
OG0000077	WP_035149506.1	WP_224174338.1, WP_224176306.1, WP_224174410.1, WP_224180341.1, WP_224180251.1
OG0000077	WP_082127475.1	WP_224174245.1
OG0000078	WP_035149954.1	WP_223978242.1
OG0000078	WP_035153264.1	WP_224176270.1, WP_073618247.1
OG0000079	WP_035150669.1	WP_223975674.1
OG0000080	WP_035153239.1	WP_224177215.1
OG0000080	WP_035154658.1	WP_224178762.1, WP_224176340.1, WP_224176908.1
OG0000080	WP_035151153.1	WP_224176454.1
OG0000081	WP_035152370.1	WP_224176478.1
OG0000082	WP_201782641.1	WP_224176905.1
OG0000082	WP_035152238.1	WP_224174155.1
OG0000083	WP_035152605.1	WP_224174917.1, WP_224175350.1
OG0000083	WP_082127363.1	WP_224174255.1
OG0000084	WP_035153058.1	WP_223990658.1
OG0000084	WP_035157763.1	WP_224179267.1
OG0000084	WP_035157520.1	WP_223978645.1
OG0000085	WP_035153284.1	WP_223985058.1, WP_223980781.1
OG0000086	WP_035155787.1	WP_223972605.1
OG0000086	WP_052754418.1	WP_224178888.1, WP_224178971.1, WP_224178824.1
OG0000086	WP_035153465.1	WP_224178819.1
OG0000087	WP_035154367.1	WP_223987779.1
OG0000088	WP_035157009.1	WP_127086126.1
OG0000088	WP_035157012.1	WP_019488911.1
OG0000091	WP_035148963.1	WP_224175232.1
OG0000092	WP_035149005.1	WP_019497149.1, WP_224179963.1, WP_224175770.1, WP_223974178.1, WP_224175795.1
OG0000093	WP_035150490.1	WP_224174556.1, WP_224174558.1
