Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome fragment,Order within fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,Calothrix_parasitica_NIES-267.gbff,Calothrix_sp_336-3_336-3.gbff,Calothrix_sp_NIES-3974_NIES-3974.gbff,Calothrix_sp_NIES-4071_NIES-4071.gbff,Calothrix_sp_NIES-4105_NIES-4105.gbff,Calothrix_sp_PCC_6303_PCC_6303.gbff,Calothrix_sp_PCC_7716_PCC_7716.gbff
5_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
6_2Fe-2S_iron-sulfur_c...faa,,,,,,,,,,,,,,1,0,0,1,1,0,0
7_xanthine_dehydrogena...faa,,,,,,,,,,,,,,1,0,0,1,1,1,0
8_xanthine_dehydrogena...faa,,,,,,,,,,,,,,1,0,0,1,1,1,0
10_nucleotidyltransfera...faa,,,,,,,,,,,,,,1,0,0,1,1,1,0
11_GUN4_N-terminal_ARM-...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
12_pentapeptide_repeat-...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
17_IS200-IS605_family_t...faa,,,,,,,,,,,,,,1,0,0,0,0,0,1
20_NAD-P--dependent_oxi...faa,,,,,,,,,,,,,,1,0,0,1,1,0,1
21_LysR_family_transcri...faa,,,,,,,,,,,,,,1,0,0,1,1,0,1
22_DUF4760_domain-conta...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
23_GNAT_family_N-acetyl...faa,,,,,,,,,,,,,,1,0,0,1,1,0,1
27_DUF421_domain-contai...faa,,,,,,,,,,,,,,1,0,0,1,1,0,0
28_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
29_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
32_3-deoxy-7-phosphohep...faa,,,,,,,,,,,,,,1,0,0,1,1,0,1
34_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0
