Orthogroup	336-3	NIES-267	NIES-3974	NIES-4071	NIES-4105	PCC_6303	PCC_7716
OG0009756	WP_035148879.1						
OG0009757	WP_035148912.1						
OG0009758	WP_035148918.1						
OG0009759	WP_035148939.1						
OG0009760	WP_035148941.1						
OG0009761	WP_035148961.1						
OG0009762	WP_035148994.1						
OG0009763	WP_035148996.1						
OG0009764	WP_035149093.1						
OG0009765	WP_035149118.1						
OG0009766	WP_035149121.1						
OG0009767	WP_035149129.1						
OG0009768	WP_035149134.1						
OG0009769	WP_035149141.1						
OG0009770	WP_035149162.1						
OG0009771	WP_035149216.1						
OG0009772	WP_035149219.1						
OG0009773	WP_035149296.1						
OG0009774	WP_035149298.1						
OG0009775	WP_035149307.1						
OG0009776	WP_035149336.1						
OG0009777	WP_035149375.1						
OG0009778	WP_035149457.1						
OG0009779	WP_035149490.1						
OG0009780	WP_035149531.1						
OG0009781	WP_035149556.1						
OG0009782	WP_035149628.1						
OG0009783	WP_035149833.1						
OG0009784	WP_035149865.1						
OG0009785	WP_035149880.1						
OG0009786	WP_035149908.1						
OG0009787	WP_035149910.1						
OG0009788	WP_035149926.1						
OG0009789	WP_035149944.1						
OG0009790	WP_035149983.1						
OG0009791	WP_035149989.1						
OG0009792	WP_035150115.1						
OG0009793	WP_035150118.1						
OG0009794	WP_035150207.1						
OG0009795	WP_035150239.1						
OG0009796	WP_035150241.1						
OG0009797	WP_035150312.1						
OG0009798	WP_035150315.1						
OG0009799	WP_035150321.1						
OG0009800	WP_035150334.1						
OG0009801	WP_035150484.1						
OG0009802	WP_035150520.1						
OG0009803	WP_035150586.1						
OG0009804	WP_035150598.1						
OG0009805	WP_035150620.1						
OG0009806	WP_035150624.1						
OG0009807	WP_035150695.1						
OG0009808	WP_035150703.1						
OG0009809	WP_035150756.1						
OG0009810	WP_035150758.1						
OG0009811	WP_035150813.1						
OG0009812	WP_035150814.1						
OG0009813	WP_035150821.1						
OG0009814	WP_035150824.1						
OG0009815	WP_035150879.1						
OG0009816	WP_035150934.1						
OG0009817	WP_035150953.1						
OG0009818	WP_035150995.1						
OG0009819	WP_035151002.1						
OG0009820	WP_035151017.1						
OG0009821	WP_035151033.1						
OG0009822	WP_035151207.1						
OG0009823	WP_035151210.1						
OG0009824	WP_035151262.1						
OG0009825	WP_035151299.1						
OG0009826	WP_035151319.1						
OG0009827	WP_035151378.1						
OG0009828	WP_035151387.1						
OG0009829	WP_035151618.1						
OG0009830	WP_035151679.1						
OG0009831	WP_035151695.1						
OG0009832	WP_035151743.1						
OG0009833	WP_035151772.1						
OG0009834	WP_035151793.1						
OG0009835	WP_035151795.1						
OG0009836	WP_035151825.1						
OG0009837	WP_035151834.1						
OG0009838	WP_035151883.1						
OG0009839	WP_035151938.1						
OG0009840	WP_035151941.1						
OG0009841	WP_035152093.1						
OG0009842	WP_035152096.1						
OG0009843	WP_035152099.1						
OG0009844	WP_035152114.1						
OG0009845	WP_035152117.1						
OG0009846	WP_035152127.1						
OG0009847	WP_035152231.1						
OG0009848	WP_035152302.1						
OG0009849	WP_035152321.1						
OG0009850	WP_035152375.1						
OG0009851	WP_035152384.1						
OG0009852	WP_035152387.1						
OG0009853	WP_035152407.1						
OG0009854	WP_035152413.1						
OG0009855	WP_035152419.1						
OG0009856	WP_035152427.1						
OG0009857	WP_035152445.1						
OG0009858	WP_035152452.1						
OG0009859	WP_035152467.1						
OG0009860	WP_035152511.1						
OG0009861	WP_035152543.1						
OG0009862	WP_035152555.1						
OG0009863	WP_035152569.1						
OG0009864	WP_035152578.1						
OG0009865	WP_035152581.1						
OG0009866	WP_035152687.1						
OG0009867	WP_035152757.1						
OG0009868	WP_035152851.1						
OG0009869	WP_035152885.1						
OG0009870	WP_035153034.1						
OG0009871	WP_035153053.1						
OG0009872	WP_035153140.1						
OG0009873	WP_035153151.1						
OG0009874	WP_035153537.1						
OG0009875	WP_035153598.1						
OG0009876	WP_035153833.1						
OG0009877	WP_035153845.1						
OG0009878	WP_035153865.1						
OG0009879	WP_035153988.1						
OG0009880	WP_035154025.1						
OG0009881	WP_035154158.1						
OG0009882	WP_035154165.1						
OG0009883	WP_035154170.1						
OG0009884	WP_035154172.1						
OG0009885	WP_035154290.1						
OG0009886	WP_035154340.1						
OG0009887	WP_035154356.1						
OG0009888	WP_035154427.1						
OG0009889	WP_035154505.1						
OG0009890	WP_035154520.1						
OG0009891	WP_035154526.1						
OG0009892	WP_035154602.1						
OG0009893	WP_035154622.1						
OG0009894	WP_035154673.1						
OG0009895	WP_035154681.1						
OG0009896	WP_035154715.1						
OG0009897	WP_035154732.1						
OG0009898	WP_035154856.1						
OG0009899	WP_035154949.1						
OG0009900	WP_035154993.1						
OG0009901	WP_035155040.1						
OG0009902	WP_035155072.1						
OG0009903	WP_035155168.1						
OG0009904	WP_035155214.1						
OG0009905	WP_035155244.1						
OG0009906	WP_035155393.1						
OG0009907	WP_035155415.1						
OG0009908	WP_035155418.1						
OG0009909	WP_035155446.1						
OG0009910	WP_035155593.1						
OG0009911	WP_035155703.1						
OG0009912	WP_035155732.1						
OG0009913	WP_035155897.1						
OG0009914	WP_035156334.1						
OG0009915	WP_035156577.1						
OG0009916	WP_035156649.1						
OG0009917	WP_035156651.1						
OG0009918	WP_035156679.1						
OG0009919	WP_035156684.1						
OG0009920	WP_035156823.1						
OG0009921	WP_035156905.1						
OG0009922	WP_035157031.1						
OG0009923	WP_035157033.1						
OG0009924	WP_035157037.1						
OG0009925	WP_035157184.1						
OG0009926	WP_035157214.1						
OG0009927	WP_035157334.1						
OG0009928	WP_035157417.1						
OG0009929	WP_035157427.1						
OG0009930	WP_035157442.1						
OG0009931	WP_035157587.1						
OG0009932	WP_035157679.1						
OG0009933	WP_035158100.1						
OG0009934	WP_035158128.1						
OG0009935	WP_035158297.1						
OG0009936	WP_035158774.1						
OG0009937	WP_035158879.1						
OG0009938	WP_035159050.1						
OG0009939	WP_035159817.1						
OG0009940	WP_035159821.1						
OG0009941	WP_035159824.1						
OG0009942	WP_035159839.1						
OG0009943	WP_035159843.1						
OG0009944	WP_035159871.1						
OG0009945	WP_035159877.1						
OG0009946	WP_035159889.1						
OG0009947	WP_035159898.1						
OG0009948	WP_035159902.1						
OG0009949	WP_035159912.1						
OG0009950	WP_035159920.1						
OG0009951	WP_035159922.1						
OG0009952	WP_035159925.1						
OG0009953	WP_035160000.1						
OG0009954	WP_035160011.1						
OG0009955	WP_035160015.1						
OG0009956	WP_035160017.1						
OG0009957	WP_035160027.1						
OG0009958	WP_046814680.1						
OG0009959	WP_046814703.1						
OG0009960	WP_046814730.1						
OG0009961	WP_046814733.1						
OG0009962	WP_046814752.1						
OG0009963	WP_046814759.1						
OG0009964	WP_046814769.1						
OG0009965	WP_046814772.1						
OG0009966	WP_046814784.1						
OG0009967	WP_046814814.1						
OG0009968	WP_046814824.1						
OG0009969	WP_046814838.1						
OG0009970	WP_046814852.1						
OG0009971	WP_046814894.1						
OG0009972	WP_046814908.1						
OG0009973	WP_046814996.1						
OG0009974	WP_046815030.1						
OG0009975	WP_046815086.1						
OG0009976	WP_052754341.1						
OG0009977	WP_052754343.1						
OG0009978	WP_052754365.1						
OG0009979	WP_052754393.1						
OG0009980	WP_052754430.1						
OG0009981	WP_052754435.1						
OG0009982	WP_052754437.1						
OG0009983	WP_052754459.1						
OG0009984	WP_052754468.1						
OG0009985	WP_052754474.1						
OG0009986	WP_052754492.1						
OG0009987	WP_052754497.1						
OG0009988	WP_052754508.1						
OG0009989	WP_052754531.1						
OG0009990	WP_052754567.1						
OG0009991	WP_052754570.1						
OG0009992	WP_052754571.1						
OG0009993	WP_052754576.1						
OG0009994	WP_052754578.1						
OG0009995	WP_052754579.1						
OG0009996	WP_052754582.1						
