Orthogroup	NIES-4105	336-3
OG0000001	WP_096691420.1	WP_035154631.1
OG0000001	WP_096691166.1	WP_035152352.1
OG0000001	WP_096684244.1	WP_035154182.1
OG0000001	WP_096689525.1	WP_035156271.1
OG0000001	WP_096688982.1	WP_035151011.1
OG0000001	WP_096693914.1, WP_096686922.1	WP_035152090.1
OG0000001	WP_096691299.1	WP_035157650.1
OG0000002	WP_096688256.1	WP_035155186.1
OG0000002	WP_096686563.1	WP_035157202.1
OG0000002	WP_096686505.1, WP_096688788.1	WP_035151530.1
OG0000002	WP_096691327.1	WP_238178433.1
OG0000002	WP_096684085.1, WP_096691780.1	WP_035158076.1, WP_035153718.1
OG0000003	WP_096683788.1	WP_035149728.1
OG0000003	WP_096689518.1	WP_046814992.1
OG0000004	WP_096684087.1	WP_035149736.1
OG0000004	WP_096691937.1	WP_046814782.1
OG0000005	WP_096685034.1	WP_035152711.1
OG0000005	WP_096685039.1, WP_096687816.1	WP_052754441.1
OG0000006	WP_096692265.1	WP_035149278.1
OG0000006	WP_096695216.1	WP_035149271.1
OG0000006	WP_096688995.1	WP_238178524.1, WP_046814770.1
OG0000006	WP_096684079.1, WP_096694259.1	WP_035150503.1
OG0000006	WP_096693503.1	WP_035153047.1
OG0000007	WP_096684672.1	WP_035150919.1
OG0000007	WP_096689501.1	WP_035149620.1
OG0000007	WP_096691919.1	WP_052754350.1
OG0000008	WP_096689183.1	WP_035153351.1
OG0000008	WP_096688693.1, WP_096688683.1	WP_035149683.1
OG0000009	WP_096688202.1	WP_035158201.1
OG0000009	WP_096689823.1, WP_096694298.1	WP_035152842.1
OG0000009	WP_096694550.1, WP_096685165.1, WP_096688208.1, WP_096689492.1	WP_035153556.1
OG0000010	WP_096692129.1	WP_035150339.1
OG0000010	WP_096689933.1	WP_035150991.1
OG0000011	WP_096686164.1	WP_035154402.1
OG0000011	WP_096691772.1	WP_035153748.1
OG0000011	WP_096686129.1, WP_096685800.1	WP_035153825.1
OG0000011	WP_096683929.1, WP_096690206.1, WP_096694373.1	WP_035157966.1
OG0000012	WP_096686306.1	WP_046814699.1
OG0000012	WP_096693399.1, WP_096691075.1, WP_096684837.1, WP_096691452.1, WP_096691685.1, WP_096692276.1, WP_096690930.1, WP_096692866.1	WP_035149360.1
OG0000013	WP_096688618.1	WP_035151573.1
OG0000013	WP_096688657.1	WP_035157878.1
OG0000014	WP_096691235.1	WP_035157382.1
OG0000014	WP_096686410.1	WP_035155322.1
OG0000014	WP_096686394.1	WP_035153779.1
OG0000014	WP_096688150.1	WP_035153641.1
OG0000016	WP_096693706.1	WP_035158136.1
OG0000016	WP_096686371.1	WP_035153714.1
OG0000016	WP_096694139.1	WP_082127290.1
OG0000017	WP_096690249.1	WP_035153749.1
OG0000017	WP_096687838.1	WP_035157968.1
OG0000017	WP_096684251.1	WP_035154401.1
OG0000017	WP_096686127.1, WP_096685802.1	WP_035153827.1
OG0000020	WP_096688467.1, WP_096690925.1, WP_096684220.1	WP_035156973.1
OG0000022	WP_096694458.1	WP_052754520.1
OG0000022	WP_096685392.1	WP_238178450.1
OG0000023	WP_096689505.1	WP_035150202.1
OG0000023	WP_096691269.1, WP_096692561.1, WP_096691286.1	WP_035149526.1
OG0000023	WP_096689037.1	WP_201782628.1
OG0000024	WP_096683784.1	WP_035149722.1
OG0000024	WP_096690810.1, WP_096683793.1	WP_046814695.1, WP_052754361.1, WP_035149720.1, WP_046814777.1, WP_046814696.1
OG0000025	WP_096684183.1	WP_035155892.1
OG0000025	WP_096695214.1	WP_035156425.1
OG0000025	WP_096694913.1	WP_052754528.1
OG0000025	WP_096691930.1	WP_035157448.1
OG0000026	WP_096694961.1, WP_096692314.1, WP_096690149.1	WP_035150464.1
OG0000027	WP_096686888.1	WP_035152343.1
OG0000027	WP_096694658.1, WP_096691512.1, WP_096694436.1	WP_035156324.1
OG0000028	WP_096688384.1, WP_096686678.1	WP_035149761.1
OG0000028	WP_096689726.1	WP_035153572.1
OG0000029	WP_096684050.1	WP_052754364.1
OG0000029	WP_096685965.1, WP_096683844.1	WP_035153906.1
OG0000030	WP_096690994.1, WP_096690674.1, WP_096689050.1, WP_096691554.1	WP_144416002.1
OG0000031	WP_096688702.1, WP_096684518.1	WP_035149492.1
OG0000031	WP_096691433.1	WP_035157544.1
OG0000032	WP_096689123.1, WP_096692210.1, WP_096694912.1	WP_035150481.1, WP_035154698.1, WP_035152988.1
OG0000032	WP_096693712.1	WP_035154887.1
OG0000033	WP_096690666.1	WP_082127367.1
OG0000035	WP_096689136.1	WP_035156698.1
OG0000035	WP_096686274.1, WP_096689974.1, WP_096689068.1, WP_096689063.1, WP_096683742.1, WP_096689182.1	WP_035150519.1
OG0000036	WP_096684061.1	WP_046814873.1
OG0000037	WP_096689828.1	WP_035154651.1
OG0000037	WP_096686575.1	WP_035152872.1
OG0000038	WP_096694576.1, WP_096684229.1	WP_035158138.1
OG0000039	WP_096689937.1	WP_035148990.1
OG0000039	WP_096695304.1, WP_096695257.1	WP_035151242.1
OG0000040	WP_096683938.1, WP_096691251.1, WP_096689312.1, WP_096689104.1, WP_096692792.1	WP_035156937.1
OG0000041	WP_096684128.1, WP_096689003.1, WP_096686338.1, WP_096693688.1, WP_096689477.1, WP_096693652.1	WP_035149561.1
OG0000042	WP_096691555.1, WP_096683799.1	WP_035159927.1, WP_238178558.1, WP_035150760.1
OG0000043	WP_096688360.1	WP_035155361.1
OG0000043	WP_096691852.1	WP_035155289.1
OG0000043	WP_096694572.1	WP_035159500.1
