Orthogroup	NIES-4105	NIES-4071
OG0000000	WP_096691415.1	WP_096691415.1
OG0000000	WP_096686963.1	WP_096686963.1
OG0000000	WP_096692195.1	WP_096692195.1
OG0000000	WP_096686965.1	WP_096686965.1
OG0000000	WP_096693593.1	WP_096693593.1
OG0000000	WP_096694987.1	WP_096694987.1
OG0000000	WP_096694962.1	WP_096694962.1
OG0000000	WP_096688648.1	WP_096688648.1
OG0000000	WP_096688641.1	WP_096688641.1
OG0000000	WP_096683928.1	WP_096683928.1
OG0000000	WP_096694864.1	WP_096694864.1
OG0000000	WP_096686957.1	WP_096729073.1
OG0000000	WP_096694731.1	WP_096694731.1
OG0000000	WP_096683874.1	WP_096683874.1
OG0000000	WP_096685762.1	WP_096685762.1
OG0000001	WP_096691420.1	WP_096691420.1
OG0000001	WP_096691449.1	WP_096691449.1
OG0000001	WP_096694257.1	WP_096694257.1
OG0000001	WP_096683859.1	WP_096683859.1
OG0000001	WP_096691166.1	WP_096691166.1
OG0000001	WP_096690151.1	WP_096690151.1
OG0000001	WP_096684244.1	WP_096684244.1
OG0000001	WP_096689525.1	WP_096689525.1
OG0000001	WP_096688982.1	WP_096688982.1
OG0000001	WP_096683883.1	WP_096683883.1
OG0000001	WP_096685148.1	WP_096685148.1
OG0000001	WP_096693914.1	WP_096693914.1
OG0000001	WP_096686922.1	WP_096686922.1
OG0000001	WP_096691299.1	WP_096691299.1
OG0000002	WP_096687611.1	WP_096687611.1
OG0000002	WP_096688256.1	WP_096688256.1
OG0000002	WP_096686563.1	WP_096686563.1
OG0000002	WP_096686505.1	WP_096686505.1
OG0000002	WP_096688788.1	WP_096688788.1
OG0000002	WP_096691327.1	WP_096691327.1
OG0000002	WP_096691159.1	WP_096691159.1
OG0000002	WP_096693625.1	WP_096693625.1
OG0000002	WP_096684085.1	WP_096684085.1
OG0000002	WP_096691780.1	WP_096691780.1
OG0000003	WP_096683788.1	WP_096683788.1
OG0000003	WP_096688734.1	WP_096688734.1
OG0000003	WP_096684114.1	WP_096684114.1
OG0000003	WP_096692517.1	WP_096692517.1
OG0000003	WP_096692183.1	WP_096692183.1
OG0000003	WP_096688721.1	WP_096688721.1
OG0000003	WP_096691414.1	WP_096691414.1
OG0000003	WP_096686959.1	WP_096686959.1
OG0000003	WP_096686158.1	WP_096686158.1
OG0000003	WP_096689518.1	WP_096689518.1
OG0000003	WP_096692197.1	WP_096692197.1
OG0000003	WP_096688649.1	WP_096688649.1
OG0000003	WP_096685969.1	WP_096685969.1
OG0000004	WP_096684087.1	WP_096684087.1
OG0000004	WP_096692752.1	WP_096692752.1
OG0000004	WP_096686836.1	WP_096686836.1
OG0000004	WP_096684612.1	WP_096684612.1
OG0000004	WP_096688735.1	WP_096688735.1
OG0000004	WP_096691937.1	WP_096691937.1
OG0000004	WP_096689080.1	WP_096689080.1
OG0000004	WP_096691356.1	WP_096691356.1
OG0000005	WP_096687819.1	WP_096687819.1
OG0000005	WP_096690199.1	WP_096690199.1
OG0000005	WP_096690182.1	WP_096690182.1
OG0000005	WP_096685034.1	WP_096685034.1
OG0000005	WP_096690189.1	WP_096690189.1
OG0000005	WP_096690190.1	WP_096690190.1
OG0000005	WP_096690194.1	WP_096690194.1
OG0000005	WP_096685039.1	WP_096685039.1
OG0000005	WP_096687816.1	WP_096687816.1
OG0000005	WP_096684329.1	WP_096684329.1
OG0000005	WP_096685047.1	WP_096685047.1
OG0000005	WP_096687815.1	WP_096729084.1
OG0000005	WP_096685037.1	WP_096685037.1
OG0000005	WP_096687817.1	WP_096687817.1
OG0000005	WP_096685036.1	WP_096685036.1
OG0000005	WP_096685046.1	WP_096685046.1
OG0000006	WP_096692265.1	WP_096692265.1
OG0000006	WP_096695216.1	WP_096695216.1
