Orthogroup	PCC_6303	PCC_7716
OG0000000	WP_158333121.1	WP_224177576.1
OG0000000	WP_015197334.1, WP_015199074.1	WP_224178259.1, WP_224177443.1
OG0000000	WP_158333186.1	WP_224174915.1
OG0000000	WP_158333138.1	WP_224177575.1, WP_224179747.1
OG0000000	WP_015198594.1, WP_015195831.1, WP_015199418.1, WP_015196614.1	WP_224177376.1
OG0000000	WP_015195832.1	WP_224174806.1
OG0000000	WP_015200893.1	WP_224176472.1, WP_224174571.1, WP_224174543.1, WP_224174536.1, WP_224180267.1
OG0000001	WP_015197900.1	WP_224178202.1, WP_224175595.1
OG0000001	WP_015197065.1	WP_224178561.1, WP_224175956.1
OG0000001	WP_015195938.1	WP_224177809.1
OG0000001	WP_015173933.1	WP_223984851.1
OG0000001	WP_015198359.1	WP_223982352.1
OG0000003	WP_015199109.1	WP_224179040.1
OG0000003	WP_015199707.1	WP_224175572.1
OG0000003	WP_068972683.1	WP_224177433.1
OG0000003	WP_015200453.1	WP_224179342.1
OG0000003	WP_144050988.1	WP_224178320.1
OG0000004	WP_015199106.1	WP_224179043.1
OG0000004	WP_015200354.1	WP_255667719.1
OG0000004	WP_015198912.1	WP_224177416.1
OG0000004	WP_015199222.1	WP_223986442.1, WP_223978756.1
OG0000005	WP_015198212.1	WP_224178267.1
OG0000005	WP_015198216.1	WP_224178281.1
OG0000005	WP_015198215.1	WP_224178279.1
OG0000006	WP_015197967.1, WP_015197966.1, WP_083866368.1, WP_015197962.1	WP_224177698.1, WP_224174196.1, WP_224176629.1, WP_224177583.1, WP_224177589.1, WP_224178326.1, WP_224178857.1
OG0000006	WP_015199356.1	WP_223978743.1
OG0000007	WP_015199497.1	WP_224176367.1
OG0000008	WP_015199589.1, WP_015195874.1, WP_015200894.1, WP_015196050.1, WP_015196367.1, WP_015197278.1, WP_015196884.1, WP_015197137.1, WP_015199368.1, WP_015196926.1, WP_015199688.1, WP_015199687.1	WP_224179574.1
OG0000009	WP_015200536.1	WP_223973838.1
OG0000009	WP_015196938.1	WP_224176495.1
OG0000010	WP_015199610.1	WP_223979110.1
OG0000010	WP_015199413.1	WP_224179037.1
