Orthogroup	336-3	NIES-3974
OG0000001	WP_035157650.1	WP_096623216.1
OG0000002	WP_035155186.1	WP_096619979.1
OG0000002	WP_035157202.1	WP_096620493.1
OG0000002	WP_035150530.1, WP_035150532.1, WP_052754386.1	WP_255408935.1
OG0000002	WP_035153701.1	WP_096621071.1
OG0000003	WP_035149728.1	WP_096624436.1
OG0000003	WP_046814870.1	WP_096624350.1
OG0000004	WP_035149736.1	WP_096624430.1
OG0000004	WP_046814782.1	WP_096625701.1
OG0000006	WP_035149278.1, WP_035149271.1, WP_238178524.1, WP_046814770.1, WP_035150503.1	WP_096625466.1
OG0000007	WP_035150919.1, WP_035159892.1, WP_035149620.1, WP_052754350.1	WP_231943311.1
OG0000008	WP_035153351.1	WP_096621553.1
OG0000008	WP_035155706.1	WP_096622200.1
OG0000009	WP_035158201.1, WP_035152842.1, WP_035152706.1, WP_035152708.1, WP_035153556.1	WP_096626506.1
OG0000010	WP_035150339.1	WP_096626149.1
OG0000011	WP_035154402.1	WP_096623713.1
OG0000011	WP_035153825.1	WP_096625956.1
OG0000011	WP_035157966.1	WP_096626355.1
OG0000014	WP_035157382.1	WP_231943204.1
OG0000016	WP_035153714.1	WP_096622633.1
OG0000016	WP_082127290.1	WP_096623392.1
OG0000017	WP_035153749.1	WP_197707080.1
OG0000017	WP_035157968.1	WP_096622984.1
OG0000018	WP_035151257.1	WP_096625142.1
OG0000022	WP_052754520.1	WP_231943158.1
OG0000022	WP_238178450.1	WP_231943097.1
OG0000023	WP_035150202.1	WP_096620061.1
OG0000023	WP_035149526.1	WP_096621655.1
OG0000023	WP_201782628.1	WP_096622279.1
OG0000024	WP_035155824.1, WP_035154163.1, WP_035158174.1, WP_035154450.1, WP_035152505.1, WP_046814677.1	WP_157780795.1
OG0000025	WP_035157448.1	WP_255408932.1
OG0000026	WP_035154541.1	WP_096620385.1, WP_096620791.1, WP_096622687.1, WP_096620792.1
OG0000027	WP_035151260.1	WP_096624584.1
OG0000027	WP_035152343.1	WP_231943400.1
OG0000028	WP_035149761.1	WP_096620976.1
OG0000028	WP_035153572.1	WP_096620048.1
OG0000029	WP_052754364.1, WP_035153906.1	WP_096620241.1
OG0000030	WP_144415998.1	WP_096622142.1
OG0000030	WP_144416002.1	WP_096622143.1, WP_096622145.1, WP_096620192.1
OG0000031	WP_035149492.1	WP_197707060.1, WP_231943126.1, WP_197707059.1
OG0000032	WP_035154887.1	WP_096623503.1
OG0000033	WP_082127367.1	WP_096624646.1, WP_096624648.1
OG0000035	WP_035156698.1	WP_096623174.1
OG0000035	WP_035150519.1	WP_096624093.1
OG0000037	WP_035154651.1, WP_035158215.1	WP_096621017.1
OG0000037	WP_035156704.1, WP_035157233.1	WP_096623505.1
OG0000037	WP_035152872.1	WP_096621134.1
OG0000040	WP_035149235.1	WP_096626369.1
