HOG	OG	Gene Tree Parent Clade	336-3	NIES-267	NIES-3974	NIES-4071	NIES-4105	PCC_6303	PCC_7716
N1.HOG0000000	OG0000000	n9		WP_096660904.1, WP_096654009.1, WP_096653450.1, WP_096653424.1					
N1.HOG0000001	OG0000000	n23		WP_096657186.1, WP_096657180.1					
N1.HOG0000002	OG0000000	n38		WP_096658329.1, WP_096658193.1					
N1.HOG0000003	OG0000000	n44		WP_096653841.1, WP_096653845.1					
N1.HOG0000004	OG0000000	n52		WP_096657200.1, WP_096653403.1					
N1.HOG0000005	OG0000000	n56		WP_096653827.1					
N1.HOG0000006	OG0000001	n2	WP_035154631.1	WP_096653644.1					
N1.HOG0000007	OG0000001	n6		WP_096656630.1					
N1.HOG0000008	OG0000001	n12		WP_096657175.1					
N1.HOG0000009	OG0000001	n21	WP_035152352.1						
N1.HOG0000010	OG0000001	n31	WP_035154182.1						
N1.HOG0000011	OG0000001	n34		WP_096658552.1, WP_096657544.1					
N1.HOG0000012	OG0000001	n38	WP_035156271.1						
N1.HOG0000013	OG0000001	n42	WP_035158622.1						
N1.HOG0000014	OG0000001	n44	WP_035151011.1						
N1.HOG0000015	OG0000001	n56		WP_096655678.1					
N1.HOG0000016	OG0000001	n58		WP_096657548.1					
N1.HOG0000017	OG0000001	n61	WP_035157650.1						
N1.HOG0000018	OG0000002	n4	WP_035155186.1						
N1.HOG0000019	OG0000002	n10	WP_035158075.1	WP_096661339.1					
N1.HOG0000020	OG0000002	n12	WP_035157202.1	WP_096660298.1					
N1.HOG0000021	OG0000002	n21	WP_035151530.1						
N1.HOG0000022	OG0000002	n26	WP_238178433.1						
N1.HOG0000023	OG0000002	n30		WP_096657794.1					
N1.HOG0000024	OG0000002	n31		WP_096652452.1					
N1.HOG0000025	OG0000002	n35		WP_096656327.1					
N1.HOG0000026	OG0000002	n38	WP_035150530.1, WP_035150532.1, WP_052754386.1	WP_096655512.1, WP_096660494.1					
N1.HOG0000027	OG0000002	n46		WP_096655514.1, WP_096655510.1, WP_096658189.1					
N1.HOG0000028	OG0000002	n49	WP_035158076.1, WP_035153718.1						
N1.HOG0000029	OG0000002	n57	WP_035149608.1, WP_035159019.1						
N1.HOG0000030	OG0000002	n59	WP_035153701.1						
N1.HOG0000031	OG0000003	n1	WP_035149728.1	WP_096656499.1					
N1.HOG0000032	OG0000003	n8		WP_096653369.1					
N1.HOG0000033	OG0000003	n18		WP_096656320.1					
N1.HOG0000034	OG0000003	n23	WP_046814870.1	WP_096653454.1					
N1.HOG0000035	OG0000003	n32		WP_096658590.1					
N1.HOG0000036	OG0000003	n45		WP_096654017.1					
N1.HOG0000037	OG0000003	n48	WP_046814992.1						
N1.HOG0000038	OG0000003	n53		WP_096660903.1					
N1.HOG0000039	OG0000003	n58		WP_096657190.1, WP_096657181.1					
N1.HOG0000040	OG0000004	n4	WP_035149736.1						
N1.HOG0000041	OG0000004	n8		WP_096655677.1					
N1.HOG0000042	OG0000004	n12		WP_096654186.1					
N1.HOG0000043	OG0000004	n13		WP_096656326.1, WP_096655508.1					
N1.HOG0000044	OG0000004	n35		WP_096653363.1					
N1.HOG0000045	OG0000004	n41	WP_046814782.1	WP_096652182.1					
N1.HOG0000046	OG0000004	n47		WP_096660893.1					
N1.HOG0000047	OG0000005	n1	WP_035152711.1	WP_096654059.1					
N1.HOG0000048	OG0000005	n24	WP_052754440.1						
N1.HOG0000049	OG0000005	n27	WP_052754441.1	WP_096654105.1					
N1.HOG0000050	OG0000005	n33		WP_096654107.1, WP_096654063.1, WP_096654061.1, WP_096654073.1					
N1.HOG0000051	OG0000006	n10	WP_035149278.1						
N1.HOG0000052	OG0000006	n12	WP_035149271.1	WP_096660235.1					
N1.HOG0000053	OG0000006	n25	WP_238178524.1	WP_096658527.1					
N1.HOG0000054	OG0000006	n27	WP_046814770.1						
N1.HOG0000055	OG0000006	n29	WP_035150503.1	WP_096661010.1					
N1.HOG0000056	OG0000006	n35		WP_096656254.1					
N1.HOG0000057	OG0000006	n40		WP_096661125.1					
N1.HOG0000058	OG0000006	n45	WP_035154243.1						
N1.HOG0000059	OG0000006	n46	WP_035153047.1	WP_096654901.1					
N1.HOG0000060	OG0000007	n3		WP_096658586.1					
N1.HOG0000061	OG0000007	n16	WP_035150919.1						
N1.HOG0000062	OG0000007	n19	WP_035159892.1						
N1.HOG0000063	OG0000007	n32	WP_035149620.1						
N1.HOG0000064	OG0000007	n35		WP_096653989.1					
N1.HOG0000065	OG0000007	n39		WP_096660909.1					
N1.HOG0000066	OG0000007	n44	WP_052754350.1	WP_096656853.1					
N1.HOG0000067	OG0000008	n2	WP_035153351.1	WP_096661690.1					
N1.HOG0000068	OG0000008	n12	WP_035158084.1	WP_096657205.1					
N1.HOG0000069	OG0000008	n16		WP_096657805.1					
N1.HOG0000070	OG0000008	n23		WP_096658046.1, WP_096655801.1					
N1.HOG0000071	OG0000008	n31		WP_096655933.1					
N1.HOG0000072	OG0000008	n38	WP_035149683.1						
N1.HOG0000073	OG0000008	n43	WP_035155706.1						
N1.HOG0000074	OG0000009	n3	WP_035158201.1	WP_096656824.1					
N1.HOG0000075	OG0000009	n7	WP_035152842.1						
N1.HOG0000076	OG0000009	n19		WP_096660236.1					
N1.HOG0000077	OG0000009	n23		WP_096656216.1					
N1.HOG0000078	OG0000009	n26	WP_035152706.1	WP_096657270.1					
N1.HOG0000079	OG0000009	n27	WP_035152708.1	WP_096657269.1					
N1.HOG0000080	OG0000009	n32		WP_096652456.1					
N1.HOG0000081	OG0000009	n33		WP_096656771.1, WP_096655133.1					
