Orthogroup	PCC_6303	336-3
OG0000001	WP_015196065.1	WP_035154631.1
OG0000001	WP_015197065.1	WP_035152352.1
OG0000001	WP_015195938.1	WP_035158622.1
OG0000001	WP_015173933.1	WP_035152090.1
OG0000001	WP_015198359.1	WP_035157650.1
OG0000003	WP_015199109.1	WP_035149728.1
OG0000003	WP_068972683.1	WP_046814870.1
OG0000004	WP_015199106.1	WP_035149736.1
OG0000004	WP_015198912.1	WP_046814782.1
OG0000005	WP_015198215.1	WP_052754440.1
OG0000005	WP_015198217.1	WP_052754441.1
OG0000006	WP_015197967.1, WP_015197966.1, WP_083866368.1, WP_015197962.1	WP_035149278.1, WP_035149271.1, WP_238178524.1, WP_046814770.1, WP_035150503.1
OG0000006	WP_015197198.1	WP_035154243.1
OG0000006	WP_015199356.1	WP_035153047.1
OG0000008	WP_015199589.1	WP_035153351.1
OG0000008	WP_015196050.1	WP_035158084.1
OG0000008	WP_015196926.1	WP_035149683.1
OG0000008	WP_015199688.1, WP_015199687.1	WP_035155706.1
OG0000009	WP_015200536.1	WP_035152842.1
OG0000010	WP_015199610.1	WP_035150339.1
OG0000010	WP_015198738.1	WP_035155110.1
OG0000010	WP_015196471.1	WP_082127354.1
OG0000010	WP_015196502.1	WP_035149406.1, WP_052754355.1
OG0000010	WP_015199648.1	WP_035149688.1
OG0000011	WP_015198485.1	WP_035154402.1
OG0000012	WP_015200439.1	WP_046814699.1
OG0000012	WP_015200231.1	WP_035149360.1
OG0000014	WP_015200405.1	WP_035157382.1
OG0000014	WP_015201036.1	WP_035155322.1
OG0000016	WP_015198501.1	WP_035158136.1
OG0000016	WP_015196780.1	WP_035153714.1
OG0000017	WP_015195951.1	WP_035153749.1
OG0000017	WP_015198486.1	WP_035154401.1
OG0000017	WP_015196930.1	WP_035153827.1
OG0000018	WP_015199223.1	WP_035151257.1
OG0000022	WP_238993725.1	WP_052754520.1
OG0000022	WP_041739801.1	WP_238178450.1
OG0000023	WP_144051023.1	WP_035150202.1
OG0000023	WP_015198146.1	WP_201782628.1
OG0000024	WP_015199117.1, WP_015199112.1	WP_035149722.1
OG0000024	WP_015199114.1	WP_052754361.1
OG0000024	WP_015199116.1	WP_035149720.1
OG0000024	WP_015199115.1	WP_046814777.1, WP_046814696.1
OG0000024	WP_015200452.1, WP_041739807.1	WP_035155824.1, WP_035154163.1, WP_035158174.1, WP_035154450.1, WP_035152505.1, WP_046814677.1
OG0000025	WP_015197074.1	WP_035155892.1
OG0000025	WP_015198548.1	WP_035156425.1, WP_052754528.1, WP_035158127.1
