Orthogroup	PCC_7716	NIES-3974
OG0000000	WP_224179203.1, WP_224175600.1	WP_157780833.1
OG0000000	WP_224178259.1, WP_224177443.1	WP_157780631.1
OG0000000	WP_224177376.1	WP_096624318.1
OG0000000	WP_224174806.1	WP_096624714.1
OG0000000	WP_224176472.1, WP_224174571.1, WP_224174543.1, WP_224174536.1, WP_224180267.1	WP_096622998.1
OG0000001	WP_223982352.1	WP_096623216.1
OG0000002	WP_224175340.1, WP_224174840.1	WP_096619979.1
OG0000002	WP_223984502.1, WP_224173959.1	WP_096620493.1
OG0000002	WP_224178544.1, WP_224178464.1	WP_255408935.1
OG0000002	WP_224179036.1	WP_096621071.1
OG0000003	WP_224179040.1	WP_096624436.1
OG0000003	WP_224175572.1	WP_172892743.1
OG0000003	WP_224177433.1	WP_096624350.1
OG0000003	WP_224176913.1	WP_096620816.1
OG0000004	WP_224179043.1	WP_096624430.1
OG0000004	WP_255667719.1	WP_096623006.1
OG0000004	WP_224179607.1	WP_096622130.1
OG0000004	WP_224177416.1	WP_096625701.1
OG0000004	WP_223986442.1, WP_223978756.1	WP_096625140.1
OG0000006	WP_224177698.1, WP_224174196.1, WP_224176629.1, WP_224177583.1, WP_224177589.1, WP_224178326.1, WP_224178857.1	WP_096625466.1
OG0000007	WP_224176367.1, WP_223978130.1, WP_224179550.1, WP_224178323.1, WP_224179202.1, WP_224177822.1, WP_223987989.1, WP_224175616.1, WP_224179050.1	WP_231943311.1
OG0000008	WP_224179574.1	WP_096621553.1, WP_096622614.1, WP_096622613.1, WP_096622727.1, WP_096621251.1, WP_096622200.1
OG0000009	WP_224179109.1, WP_224179110.1, WP_223973838.1, WP_224176495.1, WP_223984504.1, WP_224178286.1, WP_224175243.1, WP_223990086.1, WP_224175585.1, WP_224179146.1, WP_224177788.1	WP_096626506.1
OG0000010	WP_223979110.1	WP_096626149.1
OG0000011	WP_223989828.1	WP_096623278.1
OG0000011	WP_223978339.1	WP_096625956.1
OG0000013	WP_224179543.1	WP_096621104.1
OG0000014	WP_224177340.1	WP_231943204.1
OG0000014	WP_224179687.1, WP_224177655.1	WP_096622106.1
OG0000015	WP_223978162.1, WP_223973125.1, WP_223976951.1, WP_224174592.1, WP_224177283.1, WP_224180364.1, WP_223978684.1, WP_223986040.1, WP_255667734.1, WP_224175646.1	WP_096620151.1, WP_096620150.1, WP_096621610.1, WP_096621608.1, WP_096621607.1
OG0000015	WP_255667735.1	WP_096620152.1
OG0000016	WP_223972021.1, WP_223973158.1	WP_096620459.1
OG0000016	WP_073624137.1	WP_096622633.1
OG0000016	WP_224175028.1	WP_096623392.1
OG0000017	WP_223974161.1	WP_197707080.1
OG0000018	WP_224177415.1	WP_096625703.1
OG0000018	WP_224176031.1	WP_096625142.1
OG0000018	WP_223974056.1	WP_096623669.1
OG0000019	WP_223989441.1, WP_224176689.1, WP_224178911.1, WP_224178766.1, WP_224176469.1, WP_223987281.1, WP_224176703.1, WP_224176732.1	WP_096621513.1
OG0000020	WP_224176405.1	WP_096621290.1
OG0000020	WP_223973082.1, WP_224178468.1, WP_224175399.1	WP_096623433.1
OG0000022	WP_224177161.1	WP_231943158.1
OG0000022	WP_224176488.1, WP_223987490.1, WP_223987492.1, WP_224177818.1, WP_223987485.1, WP_224177813.1, WP_224175883.1, WP_223973428.1, WP_224177811.1, WP_223973380.1, WP_223983823.1	WP_231943097.1
OG0000023	WP_223982408.1, WP_224176745.1	WP_096621655.1
OG0000023	WP_224178875.1	WP_096622279.1
OG0000023	WP_224176333.1	WP_096624602.1
OG0000024	WP_224179033.1	WP_157780795.1
OG0000026	WP_224178091.1	WP_096621069.1
OG0000026	WP_223972639.1	WP_096620791.1
OG0000026	WP_224175050.1	WP_096622687.1, WP_096620792.1
OG0000027	WP_224179256.1	WP_231943400.1
OG0000028	WP_224177556.1	WP_096620975.1
OG0000028	WP_223987816.1, WP_224179387.1	WP_096620976.1
OG0000028	WP_223973706.1	WP_096620048.1
OG0000028	WP_223978362.1	WP_096620236.1
OG0000029	WP_224179308.1	WP_096620241.1
OG0000030	WP_224177621.1, WP_224177613.1, WP_224177612.1, WP_224178064.1	WP_096622143.1
OG0000030	WP_223984123.1	WP_096622145.1, WP_096620192.1
OG0000031	WP_224174811.1	WP_197707060.1, WP_231943126.1, WP_197707059.1
OG0000031	WP_224175116.1	WP_096624549.1
OG0000032	WP_223978974.1	WP_096623503.1
OG0000033	WP_224178067.1, WP_224178066.1	WP_096624646.1
OG0000034	WP_224178055.1, WP_224178054.1, WP_224178996.1	WP_157780835.1
OG0000034	WP_224179334.1, WP_224179682.1	WP_096623473.1
OG0000035	WP_224179196.1, WP_223973339.1	WP_096623174.1
OG0000035	WP_223973602.1, WP_223984083.1, WP_224180316.1	WP_096624093.1
OG0000036	WP_224175973.1, WP_224179056.1, WP_224177719.1, WP_224177112.1	WP_096622408.1
OG0000037	WP_073623750.1, WP_019493593.1, WP_073620704.1	WP_096621017.1
OG0000037	WP_223985796.1	WP_096621134.1
OG0000038	WP_223973842.1, WP_224179556.1, WP_224175787.1, WP_223972042.1, WP_224175281.1	WP_231943206.1
OG0000039	WP_224175118.1, WP_224175353.1, WP_224176861.1	WP_096624553.1
OG0000040	WP_224177333.1, WP_224174214.1, WP_224176770.1, WP_223978159.1	WP_096622902.1, WP_096621351.1, WP_096621446.1, WP_096622659.1, WP_255408815.1
OG0000041	WP_223986883.1	WP_096621846.1
OG0000041	WP_224176201.1, WP_223987336.1, WP_224176197.1	WP_096620723.1
OG0000042	WP_224175059.1	WP_096621395.1, WP_096621392.1
OG0000043	WP_223985707.1	WP_096625205.1
OG0000043	WP_223976582.1	WP_096621522.1
OG0000043	WP_224179378.1	WP_096620513.1
OG0000044	WP_224178868.1	WP_096625420.1
OG0000044	WP_224178650.1	WP_096622017.1
OG0000044	WP_224178869.1	WP_096620625.1
OG0000045	WP_224177902.1	WP_096620277.1
OG0000047	WP_224179069.1	WP_096620066.1
OG0000048	WP_223972807.1	WP_096625544.1
OG0000048	WP_223970995.1	WP_096620244.1
OG0000049	WP_224176341.1	WP_096626595.1
OG0000049	WP_224178608.1	WP_096626095.1
OG0000050	WP_223973274.1	WP_096624340.1
OG0000050	WP_224179191.1, WP_224176612.1	WP_096622068.1
OG0000051	WP_223976248.1, WP_223985370.1, WP_224175559.1	WP_096622578.1
OG0000051	WP_224176027.1	WP_096622425.1, WP_096623543.1
OG0000052	WP_224179285.1, WP_224175119.1, WP_223990866.1, WP_224175352.1	WP_096624554.1
OG0000053	WP_224179072.1, WP_223977488.1	WP_096620062.1
OG0000054	WP_224178520.1	WP_096624463.1
OG0000054	WP_224175154.1	WP_096620296.1, WP_096620297.1
OG0000055	WP_224177700.1, WP_224176828.1, WP_223987626.1, WP_223990968.1, WP_223974899.1, WP_224175268.1	WP_096624987.1
OG0000059	WP_223989517.1	WP_096623487.1
OG0000059	WP_224176570.1	WP_096620831.1
OG0000059	WP_224176885.1	WP_096622598.1
OG0000060	WP_223990960.1, WP_223977252.1	WP_096624551.1
OG0000061	WP_224177323.1	WP_096621661.1
OG0000061	WP_223977489.1, WP_224179073.1	WP_096620063.1
OG0000062	WP_223978795.1, WP_224175373.1, WP_224178787.1	WP_096621760.1
OG0000062	WP_224177064.1	WP_096621105.1
OG0000063	WP_224175528.1, WP_224174000.1	WP_096620481.1
OG0000064	WP_224179577.1, WP_223988239.1	WP_096622204.1
OG0000064	WP_223989889.1	WP_096622709.1
OG0000066	WP_224177895.1	WP_096620160.1
OG0000067	WP_224179217.1	WP_096621952.1
OG0000067	WP_223986199.1	WP_096621262.1
OG0000068	WP_223972642.1	WP_096620794.1
OG0000068	WP_224177622.1	WP_096620919.1
OG0000070	WP_224173920.1, WP_223973130.1	WP_096622282.1
OG0000071	WP_170213544.1	WP_096620111.1
OG0000073	WP_223973153.1	WP_096623186.1, WP_096621235.1
OG0000073	WP_223975079.1	WP_096620618.1
OG0000073	WP_224179619.1	WP_096620627.1
OG0000074	WP_224177449.1	WP_096624606.1
OG0000075	WP_224176039.1	WP_096620367.1, WP_096622487.1, WP_096624438.1, WP_096622962.1
OG0000077	WP_224174338.1, WP_224176306.1, WP_224174410.1, WP_224180341.1, WP_224180251.1	WP_096623940.1
OG0000078	WP_223978242.1	WP_096625284.1
OG0000078	WP_224176270.1, WP_073618247.1	WP_096624003.1
OG0000079	WP_223975674.1	WP_096624660.1
OG0000079	WP_224176674.1	WP_096624503.1
OG0000081	WP_224176478.1	WP_096625434.1
OG0000082	WP_224176905.1	WP_096621331.1
OG0000083	WP_224174917.1, WP_224175350.1	WP_096626463.1
OG0000084	WP_223990658.1	WP_096622486.1
OG0000084	WP_224178856.1	WP_096622456.1
OG0000085	WP_223985058.1, WP_223980781.1, WP_224176094.1	WP_096620210.1, WP_255408806.1
OG0000086	WP_223972605.1	WP_096620239.1
OG0000086	WP_224178819.1	WP_096620606.1
OG0000087	WP_223987779.1	WP_096622822.1
OG0000087	WP_223980055.1	WP_096620945.1
OG0000088	WP_019488911.1	WP_096625817.1
OG0000089	WP_224177972.1	WP_096623545.1
OG0000089	WP_223976722.1, WP_224177458.1	WP_096624848.1
OG0000089	WP_223971259.1, WP_224179175.1	WP_096625175.1, WP_096620318.1
OG0000090	WP_224174128.1, WP_223990187.1, WP_223990189.1, WP_224176832.1, WP_223975758.1, WP_224177531.1, WP_223976423.1	WP_096623016.1
OG0000091	WP_224175232.1, WP_224175655.1, WP_224180246.1, WP_223982191.1	WP_096625097.1
OG0000092	WP_019497149.1, WP_224179963.1, WP_224175770.1, WP_223974178.1, WP_224175795.1	WP_096620037.1
OG0000093	WP_224180193.1, WP_224180196.1, WP_224177824.1	WP_157780825.1
OG0000094	WP_223973546.1, WP_224179019.1	WP_231943192.1
OG0000095	WP_224179257.1	WP_096621054.1
OG0000097	WP_224175129.1	WP_096621423.1
OG0000098	WP_223977965.1	WP_096622242.1
OG0000099	WP_019492617.1	WP_096621280.1
OG0000099	WP_223977250.1	WP_096621192.1
OG0000101	WP_223973253.1	WP_096620021.1
OG0000102	WP_223970802.1	WP_231943080.1
OG0000102	WP_223970695.1	WP_096622992.1
OG0000103	WP_224175390.1, WP_224175783.1, WP_224176238.1, WP_223979153.1	WP_096621375.1
OG0000103	WP_224175511.1	WP_096626441.1
OG0000104	WP_224177397.1	WP_096626371.1
OG0000106	WP_223972896.1	WP_096621683.1
OG0000106	WP_223979896.1	WP_096622509.1
OG0000111	WP_224173962.1, WP_224177005.1, WP_224178777.1, WP_224174891.1	WP_255408862.1
OG0000113	WP_223985252.1	WP_096622352.1
OG0000113	WP_224177188.1	WP_096621772.1
OG0000114	WP_224175480.1	WP_096624298.1
OG0000115	WP_224175980.1	WP_096623858.1
OG0000116	WP_224179067.1	WP_096620064.1
OG0000116	WP_224177328.1	WP_096620836.1
OG0000117	WP_224175063.1	WP_197707058.1
OG0000118	WP_224177062.1	WP_096623711.1
OG0000119	WP_224175102.1	WP_096620089.1
OG0000119	WP_224179173.1	WP_096625843.1
OG0000121	WP_223980800.1	WP_096620834.1
OG0000122	WP_223979269.1, WP_224179665.1, WP_223976655.1	WP_096625124.1
OG0000123	WP_224177833.1	WP_231943094.1
OG0000123	WP_224176912.1	WP_096620817.1
OG0000124	WP_223989773.1	WP_096624286.1
OG0000124	WP_223972536.1	WP_231943344.1
OG0000124	WP_224176702.1, WP_255666742.1	WP_096623126.1
OG0000125	WP_224179105.1	WP_096622022.1
OG0000126	WP_224175147.1	WP_096621256.1
OG0000126	WP_224179720.1, WP_223978658.1	WP_096621975.1
OG0000127	WP_224175285.1	WP_096621233.1
OG0000128	WP_223986483.1	WP_096620943.1
OG0000129	WP_224174658.1	WP_096623246.1
OG0000129	WP_223990056.1	WP_096621197.1
OG0000130	WP_223990054.1	WP_096621196.1
OG0000130	WP_127080712.1	WP_096624781.1
OG0000130	WP_224175384.1	WP_197707071.1
OG0000131	WP_224175283.1	WP_096620458.1
