Orthogroup	NIES-4071	PCC_7716
OG0000000	WP_096691415.1	WP_224177576.1
OG0000000	WP_096686963.1	WP_224179203.1
OG0000000	WP_096688648.1, WP_096688641.1, WP_096683928.1	WP_224179064.1
OG0000000	WP_096694864.1, WP_096729073.1	WP_224174915.1
OG0000000	WP_096694731.1	WP_224180145.1, WP_224180143.1, WP_224180144.1, WP_224180370.1, WP_224180368.1
OG0000000	WP_096683874.1	WP_224180142.1
OG0000000	WP_096685762.1	WP_224177376.1, WP_224174806.1
OG0000001	WP_096691449.1, WP_096694257.1	WP_224177748.1
OG0000001	WP_096683859.1	WP_224178202.1, WP_224175595.1
OG0000001	WP_096691166.1	WP_224178561.1, WP_224175956.1
OG0000001	WP_096690151.1	WP_224180518.1, WP_224177666.1
OG0000001	WP_096688982.1	WP_223991133.1
OG0000001	WP_096683883.1, WP_096685148.1	WP_223978715.1
OG0000001	WP_096686922.1	WP_223984851.1
OG0000001	WP_096691299.1	WP_223982352.1
OG0000002	WP_096688256.1	WP_224175340.1, WP_224174840.1
OG0000002	WP_096686563.1	WP_223984502.1, WP_224173959.1
OG0000002	WP_096686505.1, WP_096688788.1	WP_224178719.1
OG0000002	WP_096691327.1	WP_224177287.1
OG0000002	WP_096691159.1	WP_224177831.1
OG0000002	WP_096693625.1	WP_224176191.1
OG0000002	WP_096684085.1	WP_224174169.1
OG0000002	WP_096691780.1	WP_224179024.1
OG0000003	WP_096683788.1	WP_224179040.1
OG0000003	WP_096688734.1	WP_224178517.1
OG0000003	WP_096684114.1	WP_224175572.1
OG0000003	WP_096692517.1	WP_224176775.1
OG0000003	WP_096692183.1	WP_224176913.1
OG0000003	WP_096688721.1	WP_224179342.1
OG0000003	WP_096691414.1	WP_224178320.1
OG0000003	WP_096686158.1	WP_223978358.1
OG0000003	WP_096689518.1	WP_224179529.1
OG0000003	WP_096692197.1	WP_224179201.1
OG0000003	WP_096688649.1, WP_096685969.1	WP_224179053.1
OG0000004	WP_096684087.1	WP_224179043.1, WP_224179645.1, WP_255667719.1, WP_224179607.1
OG0000004	WP_096692752.1	WP_223977677.1
OG0000004	WP_096686836.1	WP_224175591.1, WP_224176524.1, WP_224178506.1
OG0000004	WP_096688735.1	WP_223983838.1
OG0000004	WP_096691937.1	WP_224177416.1
OG0000004	WP_096689080.1	WP_223986442.1, WP_223978756.1
OG0000004	WP_096691356.1	WP_224177273.1
OG0000005	WP_096687819.1	WP_224178267.1
OG0000005	WP_096690199.1	WP_224178312.1
OG0000005	WP_096690182.1	WP_224178319.1
OG0000005	WP_096685034.1	WP_224178285.1
OG0000005	WP_096684329.1	WP_224176033.1, WP_224174967.1
OG0000005	WP_096685047.1	WP_224178275.1
OG0000006	WP_096687971.1	WP_224177698.1, WP_224174196.1
OG0000006	WP_096688995.1	WP_224176629.1, WP_224177583.1, WP_224177589.1, WP_224178326.1, WP_224178857.1
OG0000006	WP_096693503.1	WP_223978743.1
OG0000007	WP_096692877.1	WP_224176367.1
OG0000007	WP_096684672.1	WP_223978130.1
OG0000007	WP_096692203.1	WP_224179202.1
OG0000007	WP_096689501.1	WP_224177822.1
OG0000007	WP_096686146.1	WP_224175616.1
OG0000007	WP_096694206.1	WP_224179050.1
OG0000008	WP_096689183.1, WP_096686702.1, WP_096691783.1, WP_096691039.1, WP_096692911.1, WP_096692912.1, WP_096688693.1, WP_096688683.1	WP_224179574.1
OG0000009	WP_096688202.1	WP_224179109.1
OG0000009	WP_096688203.1	WP_224179110.1
OG0000009	WP_096689823.1, WP_096694298.1	WP_223973838.1
OG0000009	WP_096689785.1	WP_224176495.1
OG0000009	WP_096694550.1	WP_223990086.1
OG0000009	WP_096685165.1	WP_224175585.1
OG0000009	WP_096688208.1	WP_224179146.1
OG0000009	WP_096689492.1	WP_224177788.1
OG0000010	WP_096692129.1	WP_223979110.1
OG0000010	WP_096689933.1	WP_223972461.1
OG0000011	WP_096691772.1	WP_224177193.1
OG0000011	WP_096686129.1, WP_096685800.1	WP_223978339.1
OG0000012	WP_096689097.1	WP_224179180.1
OG0000012	WP_096686306.1	WP_224178707.1, WP_224175090.1
OG0000012	WP_096693399.1	WP_223977655.1
OG0000012	WP_096691075.1	WP_224176219.1
OG0000012	WP_096684837.1	WP_224176058.1
OG0000012	WP_096691452.1	WP_224178765.1
OG0000012	WP_096691685.1	WP_224178764.1, WP_223981015.1
OG0000012	WP_096692276.1	WP_223990858.1
OG0000012	WP_096690930.1	WP_224176210.1
OG0000012	WP_096692866.1	WP_224176440.1
OG0000013	WP_096690359.1	WP_223975095.1
OG0000013	WP_096688618.1	WP_223987783.1
OG0000013	WP_096688603.1	WP_224174825.1
OG0000013	WP_096684600.1, WP_096684867.1	WP_223978663.1
OG0000013	WP_096688279.1	WP_223972559.1
OG0000013	WP_096688278.1	WP_223973592.1
OG0000013	WP_096688280.1	WP_223972557.1
OG0000013	WP_096689643.1	WP_224177880.1
OG0000013	WP_096687407.1	WP_224174644.1
