Orthogroup	Species Tree Node	Gene Tree Node	Support	Type	Genes 1	Genes 2
OG0000000	N0	n0	0.857142857143	Non-Terminal	NIES-4071_WP_096691415.1, NIES-4105_WP_096691415.1, PCC_7716_WP_224177576.1, PCC_6303_WP_158333121.1, PCC_7716_WP_224178240.1, NIES-3974_WP_157780833.1, NIES-4105_WP_096686963.1, NIES-4071_WP_096686963.1, PCC_7716_WP_224179203.1, NIES-267_WP_096660904.1, NIES-267_WP_096654009.1, NIES-267_WP_096653450.1, NIES-267_WP_096653424.1, NIES-4105_WP_096692195.1, NIES-4071_WP_096692195.1, NIES-4105_WP_096686965.1, NIES-4071_WP_096686965.1, NIES-4071_WP_096693593.1, NIES-4105_WP_096693593.1, NIES-4071_WP_096694987.1, NIES-4105_WP_096694987.1, PCC_7716_WP_224175600.1, NIES-267_WP_096657186.1, NIES-267_WP_096657180.1, NIES-4071_WP_096694962.1, NIES-4105_WP_096694962.1	PCC_6303_WP_015198595.1, PCC_7716_WP_224179064.1, NIES-4071_WP_096688648.1, NIES-4105_WP_096688648.1, NIES-4071_WP_096688641.1, NIES-4105_WP_096688641.1, NIES-4105_WP_096683928.1, NIES-4071_WP_096683928.1, PCC_6303_WP_015197334.1, PCC_6303_WP_015199074.1, NIES-3974_WP_157780631.1, NIES-267_WP_096658329.1, NIES-267_WP_096658193.1, PCC_7716_WP_224178259.1, PCC_7716_WP_224177443.1, NIES-267_WP_096653841.1, NIES-267_WP_096653845.1, PCC_6303_WP_158333186.1, NIES-4071_WP_096694864.1, NIES-4105_WP_096694864.1, NIES-4105_WP_096686957.1, NIES-4071_WP_096729073.1, PCC_7716_WP_224174915.1, PCC_7716_WP_224177575.1, PCC_7716_WP_224179747.1, PCC_6303_WP_158333138.1, NIES-267_WP_096657200.1, NIES-267_WP_096653403.1, NIES-4071_WP_096694731.1, NIES-4105_WP_096694731.1, NIES-267_WP_096653827.1, PCC_7716_WP_224180145.1, PCC_7716_WP_224180143.1, PCC_7716_WP_224180144.1, PCC_7716_WP_224180370.1, PCC_7716_WP_224180368.1, PCC_7716_WP_224180142.1, NIES-4105_WP_096683874.1, NIES-4071_WP_096683874.1, NIES-4071_WP_096685762.1, NIES-4105_WP_096685762.1, PCC_6303_WP_015198594.1, PCC_6303_WP_015195831.1, PCC_6303_WP_015199418.1, PCC_6303_WP_015196614.1, NIES-3974_WP_096624318.1, PCC_7716_WP_224177376.1, NIES-3974_WP_096624714.1, PCC_7716_WP_224174806.1, PCC_6303_WP_015195832.1, PCC_6303_WP_015200893.1, NIES-3974_WP_096622998.1, PCC_7716_WP_224176472.1, PCC_7716_WP_224174571.1, PCC_7716_WP_224174543.1, PCC_7716_WP_224174536.1, PCC_7716_WP_224180267.1
OG0000000	N0	n1	0.428571428571	Non-Terminal	NIES-4071_WP_096691415.1, NIES-4105_WP_096691415.1, PCC_7716_WP_224177576.1, PCC_6303_WP_158333121.1	PCC_7716_WP_224178240.1, NIES-3974_WP_157780833.1, NIES-4105_WP_096686963.1, NIES-4071_WP_096686963.1, PCC_7716_WP_224179203.1, NIES-267_WP_096660904.1, NIES-267_WP_096654009.1, NIES-267_WP_096653450.1, NIES-267_WP_096653424.1, NIES-4105_WP_096692195.1, NIES-4071_WP_096692195.1, NIES-4105_WP_096686965.1, NIES-4071_WP_096686965.1, NIES-4071_WP_096693593.1, NIES-4105_WP_096693593.1, NIES-4071_WP_096694987.1, NIES-4105_WP_096694987.1, PCC_7716_WP_224175600.1, NIES-267_WP_096657186.1, NIES-267_WP_096657180.1, NIES-4071_WP_096694962.1, NIES-4105_WP_096694962.1
OG0000000	N0	n5	0.142857142857	Non-Terminal	PCC_7716_WP_224178240.1	NIES-3974_WP_157780833.1, NIES-4105_WP_096686963.1, NIES-4071_WP_096686963.1, PCC_7716_WP_224179203.1, NIES-267_WP_096660904.1, NIES-267_WP_096654009.1, NIES-267_WP_096653450.1, NIES-267_WP_096653424.1, NIES-4105_WP_096692195.1, NIES-4071_WP_096692195.1, NIES-4105_WP_096686965.1, NIES-4071_WP_096686965.1, NIES-4071_WP_096693593.1, NIES-4105_WP_096693593.1, NIES-4071_WP_096694987.1, NIES-4105_WP_096694987.1, PCC_7716_WP_224175600.1, NIES-267_WP_096657186.1, NIES-267_WP_096657180.1, NIES-4071_WP_096694962.1, NIES-4105_WP_096694962.1
OG0000000	N0	n6	0.285714285714	Non-Terminal	NIES-3974_WP_157780833.1, NIES-4105_WP_096686963.1, NIES-4071_WP_096686963.1, PCC_7716_WP_224179203.1, NIES-267_WP_096660904.1, NIES-267_WP_096654009.1, NIES-267_WP_096653450.1, NIES-267_WP_096653424.1, NIES-4105_WP_096692195.1, NIES-4071_WP_096692195.1, NIES-4105_WP_096686965.1, NIES-4071_WP_096686965.1, NIES-4071_WP_096693593.1, NIES-4105_WP_096693593.1, NIES-4071_WP_096694987.1, NIES-4105_WP_096694987.1, PCC_7716_WP_224175600.1, NIES-267_WP_096657186.1, NIES-267_WP_096657180.1	NIES-4071_WP_096694962.1, NIES-4105_WP_096694962.1
OG0000000	N0	n8	0.285714285714	Non-Terminal	NIES-4105_WP_096686963.1, NIES-4071_WP_096686963.1, PCC_7716_WP_224179203.1, NIES-267_WP_096660904.1, NIES-267_WP_096654009.1, NIES-267_WP_096653450.1, NIES-267_WP_096653424.1, NIES-4105_WP_096692195.1, NIES-4071_WP_096692195.1, NIES-4105_WP_096686965.1, NIES-4071_WP_096686965.1, NIES-4071_WP_096693593.1, NIES-4105_WP_096693593.1, NIES-4071_WP_096694987.1, NIES-4105_WP_096694987.1	PCC_7716_WP_224175600.1, NIES-267_WP_096657186.1, NIES-267_WP_096657180.1
OG0000000	N0	n9	0.285714285714	Non-Terminal	NIES-4105_WP_096686963.1, NIES-4071_WP_096686963.1, PCC_7716_WP_224179203.1	NIES-267_WP_096660904.1, NIES-267_WP_096654009.1, NIES-267_WP_096653450.1, NIES-267_WP_096653424.1, NIES-4105_WP_096692195.1, NIES-4071_WP_096692195.1, NIES-4105_WP_096686965.1, NIES-4071_WP_096686965.1, NIES-4071_WP_096693593.1, NIES-4105_WP_096693593.1, NIES-4071_WP_096694987.1, NIES-4105_WP_096694987.1
OG0000000	NIES-267	n13	1.0	Terminal	NIES-267_WP_096660904.1, NIES-267_WP_096654009.1	NIES-267_WP_096653450.1, NIES-267_WP_096653424.1
OG0000000	NIES-267	n14	1.0	Terminal	NIES-267_WP_096660904.1	NIES-267_WP_096654009.1
OG0000000	NIES-267	n15	1.0	Terminal	NIES-267_WP_096653450.1	NIES-267_WP_096653424.1
OG0000000	N5	n16	1.0	Non-Terminal	NIES-4105_WP_096692195.1, NIES-4071_WP_096692195.1, NIES-4105_WP_096686965.1, NIES-4071_WP_096686965.1, NIES-4071_WP_096693593.1, NIES-4105_WP_096693593.1	NIES-4071_WP_096694987.1, NIES-4105_WP_096694987.1
